,title,link,description,garage,price,home_type,city,date,source_link,home_size,home_area,floor,elevator,price_per_sqr_meter,neighborhood,price_per_sqr_meter_bin,price_bin,home_area_bin,street_names
2445,apartamento t4 na rua do conselheiro veloso da cruz barrosa  devesas  telheira do meio santa marinha e sao pedro da afurada,https://www.idealista.pt/imovel/33395332/,"Excelente T4 no Centro de Gaia, com 6 Varandas e 3 Lugares de Garagem
Excelente apartamento de quatro quartos, no conceituado empreendimento Varandas do Choupelo, na Rua Conselheiro Veloso da Cruz.
É um apartamento amplo, orientação solar sul e poente, com boas vistas, inclusive do Rio Douro, com muita luminosidade e",True,1900,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/,t4,248,2,True,7.66129,santa marinha e sao pedro da afurada,"(4.663, 8.731]","(1364.8, 2349.6]","(240.24, 268.52]",sao pedro da afurada
2446,apartamento t4 na rua manuel moreira barros s n afurada  arrabida  cavaco santa marinha e sao pedro da afurada,https://www.idealista.pt/imovel/33263979/,"Apartamento T4 de luxo no Condomínio Privado Arrábida Plaza, com porteiro 24h. Situado junto ao Arrábida Shopping, com excelentes acabamentos, áreas generosas e vistas para a Ponte D. Luís e rio Douro.
O imóvel é composto por 1 hall na entrada com wc de serviço, Sala com varanda, cozinha equipada com moveis e lavandar",True,3000,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/,t4,266,1,True,11.278195,santa marinha e sao pedro da afurada,"(8.731, 12.701]","(2349.6, 3334.4]","(240.24, 268.52]",rua manuel moreira barros sao pedro da afurada
2447,andar de moradia na rua doutor ribeiro de magalhaes 274 sampaioalumiaraverdinho canidelo,https://www.idealista.pt/imovel/33288346/,"Situada entre Candal e Afurada, Vila Nova de Gaia, este espaçoso andar de moradia oferece uma oportunidade única de viver com conforto e estilo. Com uma configuração generosa e uma variedade de comodidades, esta propriedade é ideal para famílias ou indivíduos que procuram um ambiente acolhedor e bem equipado.
**Caract",True,1700,andar,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/,t4,357,0,False,4.7619047,canidelo,"(4.663, 8.731]","(1364.8, 2349.6]","(353.36, 381.64]",rua doutor ribeiro de magalhaes 274 sampaioalumiaraverdinho canidelo
2448,moradia geminada na travessa estevao da gama 30 praia de francelos  praia de miramar gulpilhares e valadares,https://www.idealista.pt/imovel/31287819/,"Inserida num conjunto de moradias desenhadas pelo gabinete dos Arquitectos Carlos Loureiro e Pádua Ramos, frente ao mar em Miramar. Eletrodomésticos a estrear e a
beleza do madeiramento em riga. Mobilada e equipada com tudo.",True,2200,moradia,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-12,t4,190,0,False,11.578947,gulpilhares e valadares,"(8.731, 12.701]","(1364.8, 2349.6]","(183.68, 211.96]",gulpilhares e valadares
2449,moradia geminada na rua pereirinho 103 gulpilhares gulpilhares e valadares,https://www.idealista.pt/imovel/33324401/,,True,1500,moradia,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-12,t4,285,0,False,5.263158,gulpilhares e valadares,"(4.663, 8.731]","(1364.8, 2349.6]","(268.52, 296.8]",gulpilhares e valadares
2450,moradia geminada em santo ovidio  cedro  monte da virgem mafamude e vilar do paraiso,https://www.idealista.pt/imovel/33318567/,"Moradia localizada entre o metro de St. Ovídeo e a nova estação Rodrigo Leão, com 4 quartos + sala comum + duas casas de banho completas + salão no sótão + cozinha c/ despensa. Caixilharia dupla (estores com corte térmico) e capoto. Pátios e terreno. Portões automáticos.",True,1600,moradia,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-12,t4,300,0,False,5.3333335,mafamude e vilar do paraiso,"(4.663, 8.731]","(1364.8, 2349.6]","(296.8, 325.08]",santo ovidio virgem mafamude
2451,apartamento t4 em afurada  arrabida  cavaco santa marinha e sao pedro da afurada,https://www.idealista.pt/imovel/30648523/,"Fantástico apartamento, com vistas deslumbrantes sobre o Rio Douro e o Porto.
Imóvel, para arrendamento, inserido em condomínio fechado de referência, foi recentemente alterado e remodelado, beneficiando de acabamentos de luxo e de um superior aproveitamento de espaços.
As áreas são generosas, destacando-se a amplitu",True,3000,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-2,t4,218,0,False,13.761468,santa marinha e sao pedro da afurada,"(12.701, 16.67]","(2349.6, 3334.4]","(211.96, 240.24]",sao pedro da afurada
2452,apartamento t4 na rua joao de deus camara de gaia  aviadores  quinta das pedras mafamude e vilar do paraiso,https://www.idealista.pt/imovel/33358804/,"Oásis de Luxo em Gaia: Apartamento T4 Duplex Mobilado e Equipado, Junto ao El Corte Inglês
Descubra o epítome do luxo e conforto neste magnífico apartamento T4 duplex, situado numa localização privilegiada junto ao El Corte Inglês, Autoestrada e Estação de Metro João de Deus, em Vila Nova de Gaia. Com quatro suítes es",True,2400,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-3,t4,210,5,True,11.428572,mafamude e vilar do paraiso,"(8.731, 12.701]","(2349.6, 3334.4]","(183.68, 211.96]",rua joao de deus
2453,apartamento t4 em salgueiros canidelo,https://www.idealista.pt/imovel/33178612/,"Como Novo.
Apartamento T3+1 Condomínio Fechado Terraços do Atlântico.
Este imóvel proporciona-lhe as seguintes comodidades:
Apartamento T4 (possibilitando em um deles ser um escritório)na primeira linha de mar, com terraço e piscinas, sito na Praia de Lavadores (Pedras Amarelas), Vila Nova de Gaia. Este apartamento es",True,2200,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-3,t4,196,1,True,11.22449,canidelo,"(8.731, 12.701]","(1364.8, 2349.6]","(183.68, 211.96]",canidelo
2454,apartamento t4 na rua padua correia camara de gaia  aviadores  quinta das pedras mafamude e vilar do paraiso,https://www.idealista.pt/imovel/33147246/,"Apartamento T4 Duplex, mobilado e equipado, junto ao El Corte Inglês, VN de Gaia
Com 4 suites!
Situa-se próximo ao El Corte Ingles, Auto Estrada e Estação de Metro João de Deus.
Este imóvel é novo e tem as seguintes características:
- Acabamentos de Luxo
- Vídeo Porteiro
- Ar Condicionado
- Caixilharia de Elevada Qua",True,2400,apartamento,vila nova de gaia,2024-05-15,https://www.idealista.pt/arrendar-casas/vila-nova-de-gaia/pagina-3,t4,209,5,True,11.4832535,mafamude e vilar do paraiso,"(8.731, 12.701]","(2349.6, 3334.4]","(183.68, 211.96]",gaia
